가수,점수
릴보이(lIlBOI),2.2135012
GIRIBOY,2.0360623
ASHISLAND(애쉬아일랜드),1.9248205
GroovyRoom,1.4888448
호미들(Homies),1.359788
CODEKUNST,1.3553683
YUMDDA,1.2709951
제시(Jessi),1.230468
기리보이(GIRIBOY),1.2295646
TOIL,1.2173813
pH-1(피에이치원),1.2020068
창모(CHANGMO),1.114206
키드밀리(KidMilli),1.0837063
로꼬(Loco),1.0677676
Slom,1.0555579
헤이즈(Heize),1.014668
CHANGMO,0.9750366
머쉬베놈(MUSHVENOM),0.9575635
지코(ZICO),0.9313886
루피(Loopy),0.8965062
염따(YUMDDA),0.8802387
원슈타인(Wonstein),0.8799735
GRAY,0.8046329
리쌍(LEESSANG),0.8007606
ASHISLAND,0.7963641
Zion.T,0.7951472
미란이(Mirani),0.7760263
사이먼도미닉(SimonDominic),0.7703859
Paloalto,0.7443103
TheQuiett(더콰이엇),0.7201971
JUSTHIS,0.6936667
pH-1,0.6897157
팔로알토(Paloalto),0.6850313
Chin,0.6767445
릴러말즈(Leellamarz),0.6727896
Cashbanger,0.639566
딥플로우(Deepflow),0.6204171
에픽하이(EPIKHIGH),0.6196734
Sik-K,0.6144937
KhundiPanda(쿤디판다),0.6122155
noisemasterminsu,0.6055136
Pick!,0.604728
스윙스(Swings),0.6042999
GAEKO,0.5944636
박준우,0.5800108
한요한(HANYOHAN),0.5545943
KidMilli,0.5417038
BE'O(비오),0.528314
Loopy,0.5195109
PATEKO(파테코),0.510145
SkinnyBrown,0.4986324
HuckleberryP,0.4969415
Deepflow,0.4969415
김효은,0.4969415
ChillinHomie(칠린호미),0.4764032
JvckiWai,0.4603543
수퍼비(SUPERBEE),0.4581985
스카이민혁(Skyminhyuk),0.4294282
마미손(MommySon),0.423809
ZICO,0.4214124
먼치맨(MUNCHMAN),0.4118547
WayChed,0.403378
블루(BLOO),0.3839585
유건형,0.3816287
Minit,0.3716777
Fisherman,0.3710621
Poptime,0.3563816
양홍원(YANGHONGWON),0.3469378
lIlBOI,0.3340065
SanE(산이),0.3295328
MINO(송민호),0.325064
Leellamarz,0.322265
Loco,0.3060751
래원(Layone),0.3019697
유주(YUJU),0.3012492
싸이(PSY),0.3005218
sokodomo(소코도모),0.2978233
길,0.2974178
BRLLNT,0.2948597
Tablo,0.2939662
저스디스(JUSTHIS),0.2916931
PATEKO,0.289168
TOIL(토일),0.2878447
Louie,0.287438
CK,0.287438
Wonstein,0.2863791
rossgossage,0.2837555
레이나(Raina),0.2828783
김하온(HAON),0.2821453
조광일(GwangilJo),0.2803754
BIGNaughty,0.2585011
MUSHVENOM,0.2562761
TheQuiett,0.2557483
UNEDUCATEDKID(언에듀케이티드키드),0.2515112
KOONTA(쿤타),0.2502955
우원재(WooWonjae),0.2449033
Muddthestudent(머드더스튜던트),0.2442155
PSY,0.2419423
JvckiWai(재키와이),0.2410693
PEEJAY,0.2399636
BIGNaughty(서동현),0.2388465
MINO,0.2388012
박재범(JayPark),0.2375279
DAX,0.2373245
SanE,0.2310853
베이식(Basick),0.22577
BewhY,0.22485
개코(GAEKO),0.2235679
코스믹사운드,0.2231318
27corazones,0.220381
Khakii(카키),0.219361
SINCE(신스),0.213418
D.Ark(디아크),0.2126477
다이나믹듀오(Dynamicduo),0.2120834
피터팬,0.2008329
Noheul,0.2008329
똘아이박,0.2008329
그루비룸(GroovyRoom),0.1997271
HashSwan(해쉬스완),0.197565
김효은(Keemhyoeun),0.1957413
BLOO,0.1898455
ROCKITPRODUCTIONS,0.185151
OsshunGum(오션검),0.1819073
DJ투컷,0.1802383
디핵(D-Hack),0.1779445
이성경(Leesungkyung),0.1754485
BOYCOLD,0.1752388
NO:EL(노엘),0.1592378
지구인(Geegooin),0.1574379
프라이머리(Primary),0.1564004
